epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.92282,0,75.3448,0,0,0,0,0,0,23.161,0,2e-05,2e-05,2e-05
2,18.6753,0,74.9378,0,0,0,0,0,0,23.2019,0,5.8812e-05,5.8812e-05,5.8812e-05
3,27.7489,0,73.8464,0,0,0,0,0,0,23.2264,0,9.604e-05,9.604e-05,9.604e-05
4,38.8251,0,72.861,0,0,0,0,0,0,23.232,0,0.000131684,0.000131684,0.000131684
5,47.5053,0,71.8617,0,0,0,0,0,0,23.2567,0,0.000165744,0.000165744,0.000165744
6,53.9497,0,70.5793,0,0,0,0,0,0,23.2757,0,0.00019822,0.00019822,0.00019822
7,59.4456,0,68.9698,0,0,0,0,0,0,23.2467,0,0.000229112,0.000229112,0.000229112
8,65.118,0,66.7962,0,0,0,0,0,0,23.2069,0,0.00025842,0.00025842,0.00025842
9,70.425,0,64.5203,0,0,0,0,0,0,23.1175,0,0.000286144,0.000286144,0.000286144
10,76.0048,0,63.5338,0,0,0,0,0,0,22.9388,0,0.000312284,0.000312284,0.000312284
11,81.4986,0,62.1817,0,0,0,0,0,0,22.6368,0,0.00033684,0.00033684,0.00033684
12,86.9838,0,60.7039,0,0,0,0,0,0,22.2116,0,0.000359812,0.000359812,0.000359812
13,92.4825,0,58.7068,0,0,0,0,0,0,21.9274,0,0.0003812,0.0003812,0.0003812
14,97.6865,0,57.9339,0,0,0,0,0,0,21.7286,0,0.000401004,0.000401004,0.000401004
15,102.894,0,56.4921,0,0,0,0,0,0,21.4853,0,0.000419224,0.000419224,0.000419224
16,108.403,0,55.5155,0,0,0,0,0,0,20.8031,0,0.00043586,0.00043586,0.00043586
17,114.079,0,54.4705,0,0,0,0,0,0,19.7467,0,0.000450912,0.000450912,0.000450912
18,119.646,0,52.7116,0,0,0,0,0,0,18.8809,0,0.00046438,0.00046438,0.00046438
19,125.067,0,51.3406,0,0,0,0,0,0,18.4703,0,0.000476264,0.000476264,0.000476264
20,130.181,0,51.2646,0,0,0,0,0,0,18.4277,0,0.000486564,0.000486564,0.000486564
21,135.631,0,50.6378,0,0,0,0,0,0,18.1107,0,0.00049528,0.00049528,0.00049528
22,141.188,0,48.5893,0,0,0,0,0,0,17.7045,0,0.000502412,0.000502412,0.000502412
23,146.853,0,48.973,0,0,0,0,0,0,17.2491,0,0.00050796,0.00050796,0.00050796
24,152.028,0,48.0213,0,0,0,0,0,0,16.7155,0,0.000511924,0.000511924,0.000511924
25,157.2,0,48.2119,0,0,0,0,0,0,16.1505,0,0.000514304,0.000514304,0.000514304
26,162.472,0,46.7975,0,0,0,0,0,0,15.4241,0,0.0005151,0.0005151,0.0005151
27,167.778,0,46.2325,0,0,0,0,0,0,15.1813,0,0.000514312,0.000514312,0.000514312
28,173.082,0,45.6434,0,0,0,0,0,0,15.1813,0,0.00051194,0.00051194,0.00051194
29,178.431,0,45.536,0,0,0,0,0,0,15.1888,0,0.000507984,0.000507984,0.000507984
30,183.997,0,45.082,0,0,0,0,0,0,15.2878,0,0.000502444,0.000502444,0.000502444
31,189.506,0,44.5284,0,0,0,0,0,0,15.2878,0,0.00049532,0.00049532,0.00049532
32,194.828,0,45.0617,0,0,0,0,0,0,15.2959,0,0.000486612,0.000486612,0.000486612
33,200.177,0,45.0279,0,0,0,0,0,0,15.1314,0,0.00047632,0.00047632,0.00047632
34,205.344,0,44.1712,0,0,0,0,0,0,15.1314,0,0.000464444,0.000464444,0.000464444
35,210.746,0,44.1172,0,0,0,0,0,0,14.6329,0,0.000450984,0.000450984,0.000450984
36,216.643,0,43.9825,0,0,0,0,0,0,14.0708,0,0.00043594,0.00043594,0.00043594
37,221.787,0,43.6871,0,0,0,0,0,0,14.0708,0,0.000419312,0.000419312,0.000419312
38,227.213,0,43.6655,0,0,0,0,0,0,13.7027,0,0.0004011,0.0004011,0.0004011
39,232.824,0,43.1865,0,0,0,0,0,0,13.4227,0,0.000381304,0.000381304,0.000381304
40,238.352,0,42.6453,0,0,0,0,0,0,13.4227,0,0.000359924,0.000359924,0.000359924
41,243.797,0,43.8972,0,0,0,0,0,0,13.3619,0,0.00033696,0.00033696,0.00033696
42,248.979,0,47.7799,0,0,0,0,0,0,13.3054,0,0.000312412,0.000312412,0.000312412
43,254.356,0,42.3176,0,0,0,0,0,0,13.3054,0,0.00028628,0.00028628,0.00028628
44,260.041,0,42.3514,0,0,0,0,0,0,13.3627,0,0.000258564,0.000258564,0.000258564
45,265.697,0,42.701,0,0,0,0,0,0,13.3627,0,0.000229264,0.000229264,0.000229264
46,270.508,0,42.6822,0,0,0,0,0,0,13.4374,0,0.00019838,0.00019838,0.00019838
47,275.357,0,42.0379,0,0,0,0,0,0,13.4374,0,0.000165912,0.000165912,0.000165912
48,280.806,0,42.0206,0,0,0,0,0,0,13.4582,0,0.00013186,0.00013186,0.00013186
49,286.075,0,42.0695,0,0,0,0,0,0,13.4582,0,9.6224e-05,9.6224e-05,9.6224e-05
50,291.403,0,41.8976,0,0,0,0,0,0,13.4969,0,5.9004e-05,5.9004e-05,5.9004e-05
